# iso.me Combined Export
# Generated: 2026-04-30T23:35:26.427Z

# VISITS (3)
arrived_at,departed_at,duration_minutes,latitude,longitude,location_name,address,notes
2026-04-30T14:06:31.000Z,,,18.327441417052285,-67.22082628555923,Puerto Rico,"Carretera el Coqui, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,,,18.320335365484127,-67.24054450543272,Puerto Rico,"PR-115, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,2026-04-30T13:59:12.999Z,84.3,18.32001149291567,-67.2405893374093,Puerto Rico,"PR-115, Rincón, PR, 00677",

# LOCATION POINTS (1591)
timestamp,timestamp_unix,latitude,longitude,altitude,speed,horizontal_accuracy,is_outlier
2026-04-30T13:54:16.000Z,1777557256.000,18.320060824064374,-67.24228312905484,4.42,2.71,2.3696475496691827,false
2026-04-30T13:54:18.000Z,1777557258.000,18.320044174234752,-67.24222074194724,3.35,3.29,2.38836082641378,false
2026-04-30T13:54:20.000Z,1777557260.000,18.320050974241216,-67.2421576246964,4.06,3.00,2.369241296388813,false
2026-04-30T13:54:22.000Z,1777557262.000,18.32005127218985,-67.24209725713999,5.25,3.11,2.390951717816942,false
2026-04-30T13:54:24.000Z,1777557264.000,18.32006742995386,-67.2420420416593,5.85,3.23,2.425801917042468,false
2026-04-30T13:54:26.000Z,1777557266.000,18.320103337525367,-67.24200054134056,4.31,2.79,2.4166589000225205,false
2026-04-30T13:54:28.000Z,1777557268.000,18.320134459663752,-67.24194725853785,4.83,2.92,2.5068064531417735,false
2026-04-30T13:54:30.000Z,1777557270.000,18.320159228745336,-67.24190767427942,4.23,2.48,2.477813532898791,false
2026-04-30T13:54:32.000Z,1777557272.000,18.32018395637249,-67.24185723488381,3.25,2.53,2.4855066933443553,false
2026-04-30T13:54:34.000Z,1777557274.000,18.320198553808765,-67.24178603059346,3.45,3.25,2.4640812459827295,false
2026-04-30T13:54:37.000Z,1777557277.000,18.320230670592014,-67.24172584694016,5.45,3.09,2.519976278170317,false
2026-04-30T13:54:39.000Z,1777557279.000,18.320245620898362,-67.24168098199267,5.06,2.82,2.4870278073371375,false
2026-04-30T13:54:42.000Z,1777557282.000,18.32029242859003,-67.24162870729388,5.57,2.54,2.4233914592514125,false
2026-04-30T13:54:44.000Z,1777557284.000,18.32035147607362,-67.24160220743694,4.55,3.77,2.400724900198102,false
2026-04-30T13:54:48.000Z,1777557288.000,18.320344889149684,-67.24155380185408,4.48,1.07,2.444824274647162,false
2026-04-30T13:54:52.999Z,1777557292.999,18.32039003615076,-67.2415295131298,4.79,1.04,2.624615155058248,false
2026-04-30T13:54:57.999Z,1777557297.999,18.320439673437487,-67.24149838188337,5.38,1.16,2.533241096476858,false
2026-04-30T13:55:02.999Z,1777557302.999,18.320471681576354,-67.24145905734377,5.03,1.11,2.4126117975715413,false
2026-04-30T13:55:06.999Z,1777557306.999,18.320508979157427,-67.24143105895457,5.55,1.05,2.3411698298269292,false
2026-04-30T13:55:11.999Z,1777557311.999,18.320536288654754,-67.24138349944865,4.63,1.52,2.2796926624953686,false
2026-04-30T13:55:19.000Z,1777557319.000,18.32057220507141,-67.24133946432052,5.34,1.09,2.3040564768014162,false
2026-04-30T13:55:25.000Z,1777557325.000,18.320603976548234,-67.24129645369942,4.76,0.85,2.377815212963762,false
2026-04-30T13:55:30.000Z,1777557330.000,18.32063185813373,-67.24125585188533,5.45,0.85,2.5896504661138477,false
2026-04-30T13:55:36.000Z,1777557336.000,18.320672519989458,-67.24121910925426,4.37,1.08,2.6098895346989495,false
2026-04-30T13:55:41.000Z,1777557341.000,18.32070601994303,-67.24117955637655,4.46,0.94,2.5577851905539077,false
2026-04-30T13:55:54.000Z,1777557354.000,18.320670870337935,-67.24114883728473,5.57,0.72,2.387813735217389,false
2026-04-30T13:55:58.000Z,1777557358.000,18.320623483975126,-67.24113643401708,4.93,1.33,2.326180680112876,false
2026-04-30T13:56:03.000Z,1777557363.000,18.32058209492573,-67.24110137305465,5.04,1.02,2.28980609475695,false
2026-04-30T13:56:07.000Z,1777557367.000,18.320538506339,-67.24108566330375,5.26,1.25,2.256776941668241,false
2026-04-30T13:56:13.000Z,1777557373.000,18.320489704340364,-67.24105895201288,4.52,1.11,2.3393592758994495,false
2026-04-30T13:56:19.000Z,1777557379.000,18.320449300395296,-67.24102414178687,4.63,1.18,2.4302005646381275,false
2026-04-30T13:56:24.000Z,1777557384.000,18.3204115294167,-67.24099436639014,4.23,0.84,2.3997982298070775,false
2026-04-30T13:56:28.000Z,1777557388.000,18.320371155733604,-67.24096963765929,4.30,1.02,2.3361973213776084,false
2026-04-30T13:56:33.000Z,1777557393.000,18.32033643103245,-67.24093158976156,4.55,0.99,2.275364178918172,false
2026-04-30T13:56:38.000Z,1777557398.000,18.320313757225136,-67.24087957764951,4.36,1.22,2.2627087995324393,false
2026-04-30T13:56:43.000Z,1777557403.000,18.32029571839674,-67.24083575364442,3.58,1.04,2.407706304433881,false
2026-04-30T13:56:49.000Z,1777557409.000,18.320285625697867,-67.24078277102933,4.31,0.83,2.697522686913639,false
2026-04-30T13:56:54.000Z,1777557414.000,18.320289358219807,-67.24073389823587,5.82,1.05,2.8103319532287196,false
2026-04-30T13:56:58.999Z,1777557418.999,18.32030556686369,-67.24068346424055,6.59,0.98,2.668324684938811,false
2026-04-30T13:57:04.999Z,1777557424.999,18.320307526542422,-67.2406324785806,6.27,0.42,2.527054717277115,false
2026-04-30T13:57:09.999Z,1777557429.999,18.32030537182587,-67.24058137106886,5.31,1.04,2.5229276345588323,false
2026-04-30T13:58:11.000Z,1777557491.000,18.32028341035315,-67.24053698840972,4.65,0.30,5.240198255386692,false
2026-04-30T13:58:14.000Z,1777557494.000,18.320297615609352,-67.24047421721643,5.35,2.32,5.225943726081643,false
2026-04-30T13:58:16.000Z,1777557496.000,18.320327445244367,-67.2404342435453,5.11,2.55,5.170179444742703,false
2026-04-30T13:58:19.000Z,1777557499.000,18.320359187052883,-67.24039755918861,5.35,1.53,5.14459147697335,false
2026-04-30T13:58:22.000Z,1777557502.000,18.320408084333906,-67.24038151766817,5.40,1.86,5.260667759368064,false
2026-04-30T13:58:25.000Z,1777557505.000,18.32045472551743,-67.24041520602826,5.01,2.13,5.7313080762418664,false
2026-04-30T13:58:27.000Z,1777557507.000,18.32048780659018,-67.24045255330924,4.89,2.47,5.911441116661575,false
2026-04-30T13:58:30.000Z,1777557510.000,18.320502482956375,-67.24051826709868,5.66,2.37,5.976477756140577,false
2026-04-30T13:58:32.000Z,1777557512.000,18.320467039648477,-67.24056722050175,6.11,2.82,5.588771172910876,false
2026-04-30T13:58:35.000Z,1777557515.000,18.32042599298089,-67.2406227375246,5.81,2.33,5.076922720732331,false
2026-04-30T13:58:37.000Z,1777557517.000,18.32044159096667,-67.24067098625014,5.93,2.38,4.776922797522537,false
2026-04-30T13:58:40.000Z,1777557520.000,18.320496026235183,-67.24070066653489,6.08,2.18,4.380864209269703,false
2026-04-30T13:58:42.000Z,1777557522.000,18.320547498755204,-67.24068680324078,6.13,2.91,4.14872995949521,false
2026-04-30T13:58:44.000Z,1777557524.000,18.320595931352774,-67.24063326306866,6.22,3.52,3.9392287793429066,false
2026-04-30T13:58:46.000Z,1777557526.000,18.320634698525705,-67.24058679055948,6.36,3.18,3.7501539717084795,false
2026-04-30T13:58:49.000Z,1777557529.000,18.320665602708473,-67.240548199274,6.16,1.33,3.500830093592302,false
2026-04-30T13:58:55.999Z,1777557535.999,18.320671310126187,-67.2404742776411,6.17,3.51,3.0480856292160725,false
2026-04-30T13:58:56.999Z,1777557536.999,18.320643376543533,-67.24042567496878,6.12,5.32,2.995681353591636,false
2026-04-30T13:58:57.999Z,1777557537.999,18.32058868630689,-67.2403794828636,6.21,7.30,2.9458973068515113,false
2026-04-30T13:58:58.999Z,1777557538.999,18.320531109007756,-67.2403293001308,6.47,8.23,2.8092132522519417,false
2026-04-30T13:58:59.999Z,1777557539.999,18.32046878356908,-67.24026405950468,6.54,9.35,2.6314044705793758,false
2026-04-30T13:59:00.999Z,1777557540.999,18.32039696014119,-67.24018848158777,6.73,10.65,2.395987880830668,false
2026-04-30T13:59:01.999Z,1777557541.999,18.320320488316053,-67.24011121753462,6.75,11.77,2.23170411579792,false
2026-04-30T13:59:02.999Z,1777557542.999,18.320233573670258,-67.24002242820269,6.70,13.19,2.120978586641611,false
2026-04-30T13:59:03.999Z,1777557543.999,18.320138952461235,-67.2399269813304,6.79,14.15,2.158087584450856,false
2026-04-30T13:59:04.999Z,1777557544.999,18.32004440346289,-67.23983414928811,6.86,14.45,2.257449389487374,false
2026-04-30T13:59:05.999Z,1777557545.999,18.31994659231655,-67.23973563712225,7.06,14.85,2.1189171394922823,false
2026-04-30T13:59:06.999Z,1777557546.999,18.3198456473296,-67.23963906403988,6.80,15.17,2.054268382432634,false
2026-04-30T13:59:07.999Z,1777557547.999,18.319743633177897,-67.23953786531463,6.80,15.45,2.0242659249528745,false
2026-04-30T13:59:08.999Z,1777557548.999,18.319641547439723,-67.23943782564608,6.92,15.47,2.273714951471044,false
2026-04-30T13:59:09.999Z,1777557549.999,18.319538606349727,-67.23933599004769,6.70,15.58,2.268981510234603,false
2026-04-30T13:59:10.999Z,1777557550.999,18.319436161063358,-67.23922887319702,6.59,15.85,2.1168893271832765,false
2026-04-30T13:59:11.999Z,1777557551.999,18.31933130321803,-67.23912457554103,6.66,15.85,2.05010458831775,false
2026-04-30T13:59:12.999Z,1777557552.999,18.31922715107535,-67.23901830536212,6.75,15.88,2.021397067971827,false
2026-04-30T13:59:13.999Z,1777557553.999,18.319124735120216,-67.23891309967027,6.56,15.81,2.0091994289187003,false
2026-04-30T13:59:14.999Z,1777557554.999,18.319025200256384,-67.2388063121242,6.73,15.70,2.003970253345035,false
2026-04-30T13:59:15.999Z,1777557555.999,18.31893399085383,-67.23869249099947,6.79,15.68,2.001727442677837,false
2026-04-30T13:59:16.999Z,1777557556.999,18.31885614117373,-67.23857583021767,7.28,15.37,2.0007679790802215,false
2026-04-30T13:59:17.999Z,1777557557.999,18.318780133841777,-67.23844258550598,7.51,15.84,2.0205119218689167,false
2026-04-30T13:59:18.999Z,1777557558.999,18.318716394467028,-67.23829470995047,7.54,16.51,2.0085540555112833,false
2026-04-30T13:59:19.999Z,1777557559.999,18.318666607070803,-67.23815124015134,7.86,16.39,2.003623372692341,false
2026-04-30T13:59:20.999Z,1777557560.999,18.318621249974868,-67.23800428462584,7.99,16.46,2.001529915887104,false
2026-04-30T13:59:21.999Z,1777557561.999,18.318578042803498,-67.23784952695225,8.00,16.85,2.041186091075186,false
2026-04-30T13:59:22.999Z,1777557562.999,18.318533379658994,-67.23769194083151,8.22,17.10,2.2706096501965343,false
2026-04-30T13:59:23.999Z,1777557563.999,18.31849033291392,-67.23752495848677,8.12,17.55,2.348109638375802,false
2026-04-30T13:59:24.999Z,1777557564.999,18.318444343133553,-67.23736156724243,8.13,17.91,2.135291727427507,false
2026-04-30T13:59:26.000Z,1777557566.000,18.318396822231286,-67.2371988144815,8.13,17.88,2.3051683300196544,false
2026-04-30T13:59:27.000Z,1777557567.000,18.318351079676003,-67.23703728912722,7.94,17.79,2.759533497225226,false
2026-04-30T13:59:28.000Z,1777557568.000,18.318305412289273,-67.23688126151471,7.74,17.51,2.35348645417737,false
2026-04-30T13:59:29.000Z,1777557569.000,18.31825741247723,-67.23672510128513,7.58,17.34,2.1389159555249075,false
2026-04-30T13:59:30.000Z,1777557570.000,18.318213038191466,-67.23656794858488,7.59,17.33,2.055060133459824,false
2026-04-30T13:59:31.000Z,1777557571.000,18.318170663103338,-67.23641332631571,7.19,17.21,2.0221447943855355,false
2026-04-30T13:59:32.000Z,1777557572.000,18.31812806753142,-67.23625300769274,7.32,17.33,2.0440565491126557,false
2026-04-30T13:59:32.078Z,1777557572.078,18.31812806753142,-67.23625300769274,7.32,17.33,2.0440565491126557,false
2026-04-30T13:59:33.000Z,1777557573.000,18.318083147742993,-67.23609700615559,7.44,17.12,2.0173975708397656,false
2026-04-30T13:59:34.000Z,1777557574.000,18.31804070481272,-67.23594185872557,7.86,17.12,2.0070116644027265,false
2026-04-30T13:59:35.000Z,1777557575.000,18.31799838911078,-67.23578918545024,8.21,16.74,2.0028145422073256,false
